fold,a_s_m2
2020,560707.007616
2020,259523.561972
2020,230307.272482
2020,1290367.483776
2020,-1489294.851316
2020,303554.093566
2020,674118.036377
2020,396115.336800
2020,-297603.275760
2020,127560.405776
2020,1248089.570076
2020,537243.027582
2020,-437310.385268
2020,367590.138146
2020,265367.892878
2020,380756.040730
2020,-1267899.639740
2020,374452.037018
2020,443221.168409
2020,236800.473424
2020,278743.958640
2020,219893.681406
2020,124331.655121
2020,457041.970165
2020,369656.306526
2020,767452.180207
2020,513322.475657
2020,181641.460966
2020,351619.142839
2020,745771.661419
2020,420701.128719
2020,203833.309023
2020,-304754.006731
2020,639117.558466
2020,354253.960421
2020,464050.684800
2020,611021.692303
2020,125017.762867
2020,359601.654989
2020,410735.269609
2020,295267.333992
2020,-730750.720659
2020,666811.569600
2020,-284840.720640
2020,605836.537123
2020,450711.796816
2020,82330.674048
2020,75034.911429
2020,-253789.245741
2020,-182628.994755
2020,354253.960421
2020,-483433.637236
2020,889485.487579
2020,562295.649600
2020,687569.880048
2020,762416.132211
2020,465382.569090
2020,380745.995722
2020,572851.757520
2020,125671.965097
2020,153257.795292
2020,494835.373964
2020,415799.168400
2020,240954.637304
2020,222226.974900
2020,277179.618732
2020,190118.062477
2020,338549.607529
2020,-488350.636200
2020,91317.924263
2020,-372456.733091
2020,483273.799806
2020,94652.230050
2020,565700.845703
2020,1163262.189600
2020,618122.445893
2020,272501.507782
2020,291844.375988
2020,514788.413236
2020,-233459.507042
2020,76819.201200
2020,236970.729834
2020,199614.405524
2020,287523.295920
2020,-411374.661120
2020,401442.277239
2020,236475.697703
2020,-425891.255285
2020,159949.728556
2020,-70156.311300
2020,-324835.479360
2020,457061.681295
2020,375117.138327
2020,110178.933992
2020,226329.704191
2020,83599.421870
2020,611879.699769
2020,296431.741101
2020,111241.292243
2020,91678.035313
2020,-120063.369289
2020,56996.744645
2020,402498.847606
2020,886037.731643
2020,700417.457723
2020,-490844.766109
2020,320972.570957
2020,-1275747.448500
2020,336490.279024
2020,172969.053292
2020,463404.194573
2020,103755.804218
2020,-179098.480512
2020,158759.682480
2020,594675.864815
2020,-431705.757979
2020,206523.457920
2020,572532.849969
2020,200024.076173
2020,422892.021093
2020,232025.342400
2020,168786.914660
2020,268983.950706
2020,540120.097878
2020,527422.828293
2020,-559682.751600
2020,310283.427156
2020,1401613.495579
2020,82931.850528
2020,431276.933536
2020,206611.471326
2020,-436799.126400
2020,135680.667055
2020,389217.286080
2020,652296.554916
2020,314771.361015
2020,170422.429553
2020,515586.534807
2020,-1521115.611339
2020,-323671.952733
2020,369852.932221
2020,219301.288073
2020,-688664.898327
2020,694292.544528
2020,525996.816167
2020,-684788.307840
2020,164807.843957
2020,-564005.910109
2020,608399.868516
2020,427893.825989
2020,1065174.461140
2020,-165939.122215
2020,278901.598674
2020,-327140.668478
2020,455189.552452
2020,229681.652073
2020,450830.833297
2020,259062.411541
2020,127667.653673
2020,316758.489062
2020,523152.289973
2020,236865.341380
2020,353533.528103
2020,-386896.311857
2020,507407.934194
2020,1074958.390214
2020,135680.667055
2020,184269.606646
2020,291898.984724
2020,1541053.884255
2020,271417.539854
2020,532424.325368
2020,398817.455707
2020,240587.608154
2020,704188.801410
2020,89639.495125
2020,296919.159694
2020,387924.205395
2020,156281.396607
2020,254600.781120
2020,293810.490645
2020,83782.508053
2020,-477252.695747
2020,294457.418506
2020,85002.254012
2020,175586.745600
2020,-79495.828420
2020,90508.631753
2020,-564278.772185
2020,-121132.628294
2020,-1191322.729641
2020,326244.508800
2020,411199.657719
2020,113228.835948
2020,227092.190976
2020,776911.216833
2020,-110681.139250
2020,208867.893459
2020,558830.875266
2020,260517.291026
2020,351173.491200
2020,30467.765889
2020,-542646.656640
2020,-572967.275116
2020,-974292.307902
2020,50962.982260
2020,69201.835031
2020,-538071.039431
2020,671982.357221
2020,711729.480256
2020,222579.878759
2020,95109.487200
2020,76633.198292
2020,272840.611159
2020,302288.544982
2020,53971.335738
2020,272883.524734
2020,573663.545556
2020,608001.865361
2020,227165.352120
2020,244832.222738
