date,n,complete,kappa_median_m,kappa_q25_m,kappa_q75_m
2018-10-05,96,1,5.646831,5.644315,5.650295
2018-10-06,96,1,5.647781,5.643227,5.652121
2018-10-07,96,1,5.646718,5.640790,5.653437
2018-10-08,96,1,5.649473,5.640308,5.654093
2018-10-09,96,1,5.646488,5.643543,5.649815
2018-10-10,96,1,5.648359,5.644745,5.650908
2018-10-11,96,1,5.648030,5.645291,5.651177
2018-10-12,96,1,5.647757,5.645972,5.649513
2018-10-13,96,1,5.647464,5.646501,5.651768
2018-10-14,96,1,5.650876,5.644011,5.655975
2018-10-15,96,1,5.647706,5.643078,5.653086
2018-10-16,96,1,5.647762,5.643694,5.652844
2018-10-17,96,1,5.647083,5.643219,5.651153
2018-10-18,96,1,5.646613,5.643094,5.650511
2018-10-19,96,1,5.648827,5.645718,5.650700
2018-10-20,96,1,5.648202,5.643247,5.651626
2018-10-21,96,1,5.646375,5.642709,5.652030
2018-10-22,96,1,5.648029,5.642242,5.651539
2018-10-23,96,1,5.646585,5.643423,5.649811
2018-10-24,96,1,5.648766,5.645352,5.651182
2018-10-25,96,1,5.647742,5.644897,5.650029
2018-10-26,96,1,5.647534,5.644390,5.650883
2018-10-27,96,1,5.647598,5.645056,5.649877
2018-10-28,96,1,5.647550,5.644168,5.650823
2018-10-29,96,1,5.648219,5.644761,5.650888
2018-10-30,96,1,5.646102,5.644766,5.649347
2018-10-31,96,1,5.647425,5.645554,5.649327
2018-11-01,94,0,5.648439,5.644735,5.650610
2018-11-02,96,1,5.646701,5.644542,5.648388
2018-11-03,96,1,5.647734,5.645149,5.650004
2018-11-04,95,0,5.646929,5.641786,5.652119
2018-11-05,96,1,5.647982,5.642925,5.652858
2018-11-06,96,1,5.647649,5.644193,5.650534
2018-11-07,96,1,5.647790,5.643913,5.650180
2018-11-08,96,1,5.649389,5.644747,5.652560
2018-11-09,96,1,5.648301,5.642656,5.652394
2018-11-10,96,1,5.646783,5.644145,5.651117
