z0_ft,n,mean_squared_error_log,alpha,beta,gamma_m,free_fraction
4.23000,265576,0.0027730022,0.960627,0.220071,23.921340,0.175185
4.23500,265576,0.0028145018,0.959981,0.216865,23.897820,0.175185
4.24000,265570,0.0033476972,0.952131,0.187820,23.624853,0.179090
4.24500,265567,0.0028616629,0.959266,0.212783,23.871478,0.179081
4.25000,265553,0.0028460705,0.959543,0.213257,23.880929,0.183078
4.25500,265553,0.0028954146,0.958779,0.209637,23.853349,0.183086
4.26000,265537,0.0028726804,0.959157,0.210502,23.866361,0.187006
4.26500,265537,0.0029229169,0.958378,0.206841,23.838300,0.187006
4.27000,265523,0.0030917755,0.955938,0.197629,23.753329,0.190970
4.27500,265522,0.0029694187,0.957692,0.202984,23.813277,0.191238
4.28000,265497,0.0029216761,0.958472,0.205435,23.840686,0.195302
4.28500,265497,0.0029792259,0.957581,0.201390,23.808751,0.195302
4.29000,265474,0.0034136588,0.951300,0.178937,23.591682,0.199481
4.29500,265471,0.0029865961,0.957539,0.200047,23.806660,0.199517
4.30000,265447,0.0029420645,0.958265,0.202250,23.832146,0.203675
4.30500,265447,0.0029934740,0.957470,0.198580,23.803587,0.203837
4.31000,265429,0.0029756212,0.957783,0.199185,23.814439,0.207920
4.31500,265429,0.0030306148,0.956932,0.195332,23.783992,0.207920
4.32000,265410,0.0033201429,0.952729,0.180338,23.638693,0.212091
4.32500,265408,0.0030669177,0.956420,0.192206,23.765309,0.212085
4.33000,265384,0.0033369500,0.952517,0.178411,23.630676,0.215838
4.33500,265382,0.0030937262,0.956069,0.189724,23.752403,0.215889
4.34000,265356,0.0030634112,0.956580,0.191100,23.770356,0.219931
4.34500,265356,0.0031329399,0.955509,0.186508,23.732269,0.219931
4.35000,265318,0.0030692545,0.956563,0.189939,23.769465,0.224342
4.35500,265318,0.0031394207,0.955481,0.185326,23.731022,0.224342
4.36000,265280,0.0030799219,0.956478,0.188525,23.766204,0.228871
4.36500,265280,0.0031550797,0.955320,0.183661,23.725120,0.228883
4.37000,265232,0.0030648888,0.956814,0.188710,23.777962,0.233392
4.37500,265232,0.0031374467,0.955698,0.184010,23.738347,0.233392
4.38000,265191,0.0037967645,0.946036,0.151456,23.406891,0.237455
4.38500,265185,0.0031055964,0.956263,0.185005,23.758185,0.237973
4.39000,265151,0.0030512114,0.957161,0.187767,23.789955,0.242798
4.39500,265151,0.0031184680,0.956123,0.183371,23.753066,0.242798
4.40000,265110,0.0030434427,0.957362,0.187376,23.796962,0.247471
4.40500,265110,0.0031072787,0.956377,0.183178,23.761918,0.247629
4.41000,265077,0.0035732470,0.949546,0.160310,23.526792,0.252383
4.41500,265073,0.0031031915,0.956505,0.182483,23.766226,0.252606
4.42000,265040,0.0031945364,0.955235,0.178009,23.722709,0.257406
4.42500,265039,0.0031101912,0.956460,0.181152,23.764445,0.257404
4.43000,265005,0.0030585754,0.957328,0.183709,23.795120,0.262218
4.43500,265005,0.0031210903,0.956356,0.179604,23.760558,0.262289
